계열명,계열명_tok1,계열명_tok2,계열명_tok3,계열명_tok4,계열명_tok5,계열명_tok6
L4,L,4,,,,
L4,L,4,,,,
L2,L,2,,,,
L4,L,4,,,,
L5,L,5,,,,
L3,L,3,,,,
L5,L,5,,,,
L2,L,2,,,,
L5,L,5,,,,
L3,L,3,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L5,L,5,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L3,L,3,,,,
기능사,기능사,,,,,
L3,L,3,,,,
L5,L,5,,,,
L2,L,2,,,,
기능사,기능사,,,,,
L2,L,2,,,,
L3,L,3,,,,
L2,L,2,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L3,L,3,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L5,L,5,,,,
L4,L,4,,,,
L5,L,5,,,,
L4,L,4,,,,
L4,L,4,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L5,L,5,,,,
L4,L,4,,,,
L4,L,4,,,,
L3,L,3,,,,
L4,L,4,,,,
L4,L,4,,,,
L3,L,3,,,,
L3,L,3,,,,
L5,L,5,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
기능사,기능사,,,,,
기사,기사,,,,,
기사,기사,,,,,
L3,L,3,,,,
L3,L,3,,,,
L3,L,3,,,,
L2,L,2,,,,
L2,L,2,,,,
L3,L,3,,,,
L3,L,3,,,,
L5,L,5,,,,
L2,L,2,,,,
기능사,기능사,,,,,
기사,기사,,,,,
기능사,기능사,,,,,
L5,L,5,,,,
L3,L,3,,,,
L2,L,2,,,,
L4,L,4,,,,
L3,L,3,,,,
L2,L,2,,,,
L4,L,4,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L4,L,4,,,,
L3,L,3,,,,
L2,L,2,,,,
L2,L,2,,,,
L5,L,5,,,,
L5,L,5,,,,
L5,L,5,,,,
L2,L,2,,,,
L5,L,5,,,,
L3,L,3,,,,
L3,L,3,,,,
L2,L,2,,,,
L5,L,5,,,,
L4,L,4,,,,
L5,L,5,,,,
L4,L,4,,,,
L5,L,5,,,,
L5,L,5,,,,
L3,L,3,,,,
L5,L,5,,,,
L4,L,4,,,,
L3,L,3,,,,
L5,L,5,,,,
L5,L,5,,,,
L3,L,3,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
기사,기사,,,,,
기사,기사,,,,,
기사,기사,,,,,
기능사,기능사,,,,,
기사,기사,,,,,
기능사,기능사,,,,,
기능사,기능사,,,,,
L3,L,3,,,,
L4,L,4,,,,
L5,L,5,,,,
