고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
2867,일학습병행자격,L5,사회복지정책,,,
2868,일학습병행자격,L3,사회복지서비스,,,
2869,일학습병행자격,L3,시각디자인,,,
2870,일학습병행자격,L3,컨벤션기획,,,
2871,일학습병행자격,L3,플라스틱압출제품제조,,,
2872,일학습병행자격,L2,자동차보수도장,,,
2873,일학습병행자격,L4,선박선체건조,,,
2874,일학습병행자격,L5,사출금형설계,,,
2875,일학습병행자격,L2,제선,,,
2876,일학습병행자격,L2,냉간압연,,,
2877,일학습병행자격,L4,구조해석설계,,,
2878,일학습병행자격,L6,기계시스템설계,,,
2879,일학습병행자격,L2,미장·방수·타일시공,,,
2880,일학습병행자격,L3,바이오의약품제조,,,
2881,일학습병행자격,L5,바이오의약품제조,,,
2882,일학습병행자격,L5,바이오화학제품제조,,,
2883,일학습병행자격,L3,방문판매,,,
2884,일학습병행자격,L5,방문판매,,,
2885,일학습병행자격,L5,방송제작,,,
2886,일학습병행자격,L5,방송시스템관리,,,
2887,일학습병행자격,L4,방송제작운용,,,
2888,일학습병행자격,L5,방재,,,
2889,일학습병행자격,L3,방적원사생산,,,
2890,일학습병행자격,L5,방적원사생산,,,
2891,일학습병행자격,L3,버섯재배,,,
2892,일학습병행자격,L3,보석감정,,,
2893,일학습병행자격,L3,보석디자인,,,
2894,일학습병행자격,L5,보존기술,,,
2895,일학습병행자격,L3,보험영업·계약관리,,,
2896,일학습병행자격,L5,보험영업·계약관리,,,
2897,일학습병행자격,L2,복어조리,,,
2898,일학습병행자격,L4,복어조리,,,
2899,일학습병행자격,L4,부동산경·공매,,,
2900,일학습병행자격,L5,부동산자산관리,,,L5
2901,일학습병행자격,L3,부동산중개,,,L3
2902,일학습병행자격,L5,부동산중개,,,L5
2903,일학습병행자격,L4,비철금속건식제련,,,L4
2904,일학습병행자격,L2,비철금속습식제련,,,L2
2905,일학습병행자격,L4,비철금속습식제련,,,L4
2906,일학습병행자격,L5,사료생산,,,L5
2907,일학습병행자격,L5,사진촬영,,,L5
2908,일학습병행자격,L5,산림보호,,,L5
2909,일학습병행자격,L5,산림조성,,,L5
2910,일학습병행자격,L5,산림토목,,,L5
2911,일학습병행자격,L3,산업안전관리,,,L3
2912,일학습병행자격,L5,산업안전관리,,,L5
2913,일학습병행자격,L3,산업환경기계설비,,,L3
2914,일학습병행자격,L6,SW아키텍트,,,L6
2915,일학습병행자격,L3,건강운동관리,건강노화운동관리,,L3
2916,일학습병행자격,L6,기계설비제어,,,L6
2917,과정평가형자격,기사,건설안전산업기사,,,
2918,과정평가형자격,기사,보석디자인산업기사,,,
2919,과정평가형자격,기사,소방설비산업기사,기계분야,,
2920,과정평가형자격,기사,측량및지형공간정보산업기사,,,
2921,일학습병행자격,L5,산업환경기계설비,,,L5
2922,일학습병행자격,L3,산업환경보건,,,L3
2923,일학습병행자격,L5,산업환경전기·계측제어설비,,,L5
2924,일학습병행자격,L5,상업용건물관리,,,L5
2925,일학습병행자격,L3,상하수도시공,,,L3
2926,일학습병행자격,L4,생산기계설치·정비,,,L4
2927,일학습병행자격,L3,석조문화재보수,,,L3
2928,일학습병행자격,L3,선박기관,,,L3
2929,일학습병행자격,L3,선박시운전정비,,,L3
2930,일학습병행자격,L5,선박의장설계,,,L5
2931,일학습병행자격,L3,선박항해,,,L3
2932,일학습병행자격,L4,선재가공,,,L4
2933,일학습병행자격,L3,선체설계,,,L3
2934,일학습병행자격,L5,선체설계,,,L5
2935,일학습병행자격,L3,섬유공예,,,L3
2936,일학습병행자격,L4,세라믹제조,,,L4
2937,일학습병행자격,L2,세탁,,,L2
2938,일학습병행자격,L3,소믈리에,,,L3
2939,일학습병행자격,L5,소방공사관리,,,L5
2940,일학습병행자격,L5,소음진동관리,,,L5
2941,일학습병행자격,L3,손해사정,,,L3
2942,일학습병행자격,L5,송배전설비시공,,,L5
2943,일학습병행자격,L3,수도작재배,,,L3
2944,일학습병행자격,L2,수동용접,가스메탈아크용접,,L2
2945,일학습병행자격,L3,수상레저기구운항,,,L3
2946,일학습병행자격,L2,수상작업용건설기계조종,,,L2
2947,일학습병행자격,L2,수선,,,L2
2948,일학습병행자격,L2,수중구조물시공및준설,,,L2
